127.0.0.1 - - [25/Mar/2023:18:18:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Mar/2023:18:18:58 +0900] "GET /odw/ HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [25/Mar/2023:18:18:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Mar/2023:18:18:58 +0900] "GET /odw/member/login HTTP/1.1" 200 719
0:0:0:0:0:0:0:1 - - [25/Mar/2023:18:19:04 +0900] "GET /odw/test HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [25/Mar/2023:18:20:10 +0900] "GET /odw/test HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [25/Mar/2023:18:21:09 +0900] "GET /odw/test HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [25/Mar/2023:18:21:21 +0900] "GET /odw/test HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [25/Mar/2023:18:21:51 +0900] "GET /odw/test HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [25/Mar/2023:18:23:46 +0900] "GET /odw/test HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [25/Mar/2023:18:23:47 +0900] "GET /odw/www.naver.com HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Mar/2023:18:24:48 +0900] "GET /odw/test HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [25/Mar/2023:18:25:44 +0900] "GET /odw/test HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [25/Mar/2023:18:26:49 +0900] "GET /odw/test HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [25/Mar/2023:18:27:26 +0900] "GET /odw/test HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [25/Mar/2023:18:28:42 +0900] "GET /odw/test HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [25/Mar/2023:18:28:56 +0900] "GET /odw/test HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [25/Mar/2023:18:30:25 +0900] "GET /odw HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Mar/2023:18:30:25 +0900] "GET /odw/ HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [25/Mar/2023:18:30:25 +0900] "GET /odw/member/login HTTP/1.1" 200 719
0:0:0:0:0:0:0:1 - - [25/Mar/2023:18:30:31 +0900] "POST /odw/member/login HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [25/Mar/2023:18:30:31 +0900] "GET /odw/member/myPage HTTP/1.1" 200 710
